time,open,high,low,close,ask_size,bid_size
2025-06-26 21:12:00,107473.1,107473.1,107368.2,107392.0,2.612892,1.632548
2025-06-26 21:13:00,107392.0,107392.0,107373.2,107391.2,1.965047,1.385694
2025-06-26 21:14:00,107391.2,107405.2,107391.2,107394.3,1.63886,1.438681
2025-06-26 21:15:00,107394.3,107394.3,107353.2,107365.8,3.013316,1.151087
2025-06-26 21:16:00,107365.8,107373.9,107356.3,107356.3,0.7101770000000001,0.136751
2025-06-26 21:17:00,107356.4,107368.4,107349.6,107349.6,1.074254,0.422102
2025-06-26 21:18:00,107349.6,107367.8,107316.0,107367.8,7.196914,1.106554
2025-06-26 21:19:00,107368.4,107435.5,107368.4,107414.5,3.110217,5.390559
2025-06-26 21:20:00,107414.5,107414.6,107331.5,107339.1,3.105238,0.610095
2025-06-26 21:21:00,107339.1,107339.2,107136.3,107136.3,19.660363999999998,4.928111
2025-06-26 21:22:00,107136.2,107281.7,107136.2,107281.6,0.163045,2.498417
2025-06-26 21:23:00,107281.6,107281.6,107143.4,107170.8,3.237084,1.346492
2025-06-26 21:24:00,107162.8,107224.7,107162.8,107205.3,1.120743,0.962827
2025-06-26 21:25:00,107205.4,107263.7,107200.1,107263.7,0.336811,1.299151
2025-06-26 21:26:00,107263.7,107265.8,107263.7,107265.7,0.274265,0.304929
2025-06-26 21:27:00,107265.8,107275.6,107265.8,107275.5,0.315203,6.479688
2025-06-26 21:28:00,107275.5,107304.7,107244.0,107244.0,7.003826,1.744845
2025-06-26 21:29:00,107242.5,107256.3,107221.0,107241.0,1.827694,1.501318
2025-06-26 21:30:00,107239.7,107308.7,107239.7,107308.7,0.813856,5.6569460000000005
2025-06-26 21:31:00,107308.7,107337.8,107105.8,107126.4,11.809989,4.587795
2025-06-26 21:32:00,107126.4,107148.8,107077.2,107077.2,2.050023,1.869451
2025-06-26 21:33:00,107077.2,107080.0,107032.6,107039.1,1.53735,3.743216
2025-06-26 21:34:00,107039.1,107063.1,106917.0,106997.1,3.699537,2.987643
2025-06-26 21:35:00,106997.1,106997.1,106843.7,106865.1,6.2836,3.456394
2025-06-26 21:36:00,106865.2,106988.2,106846.3,106983.9,1.575545,7.774032
2025-06-26 21:37:00,106989.7,106997.2,106974.0,106974.0,1.452003,0.524227
2025-06-26 21:38:00,106974.1,107036.8,106968.0,107036.8,0.092637,1.51849
2025-06-26 21:39:00,107036.8,107070.2,107019.8,107063.8,2.226589,2.20086
2025-06-26 21:40:00,107063.8,107073.7,106886.0,106919.5,11.677081,4.48281
2025-06-26 21:41:00,106919.4,106935.0,106877.7,106891.5,3.431104,5.197545
2025-06-26 21:42:00,106890.1,106923.4,106890.1,106923.4,0.71046,2.957429
2025-06-26 21:43:00,106923.3,107019.0,106923.3,107019.0,1.0059960000000001,5.274456
2025-06-26 21:44:00,107019.8,107022.7,106932.1,106960.9,4.106494,1.599459
2025-06-26 21:45:00,106960.9,106997.8,106953.8,106965.0,3.214172,2.630717
2025-06-26 21:46:00,106964.7,106964.7,106880.7,106931.5,11.474283999999999,3.402762
2025-06-26 21:47:00,106931.5,106932.8,106923.8,106923.8,1.399085,1.514235
2025-06-26 21:48:00,106923.8,106970.8,106923.8,106926.1,1.281001,1.268091
2025-06-26 21:49:00,106926.1,107043.0,106926.1,107043.0,0.073781,1.94551
2025-06-26 21:50:00,107043.1,107084.1,107043.1,107084.1,0.193562,1.104698
2025-06-26 21:51:00,107084.2,107094.6,107048.3,107061.7,3.088667,0.879369
2025-06-26 21:52:00,107061.8,107061.8,106966.5,106966.6,3.904316,0.953109
2025-06-26 21:53:00,106966.5,107006.2,106966.5,107004.1,3.332152,2.282325
2025-06-26 21:54:00,107004.0,107004.1,106975.5,106981.6,1.339655,0.272222
2025-06-26 21:55:00,106981.5,106981.6,106942.6,106946.1,1.067253,0.691721
2025-06-26 21:56:00,106946.1,106976.0,106941.7,106965.9,2.690566,3.705094
2025-06-26 21:57:00,106965.9,106965.9,106965.8,106965.9,0.055679,0.12227
2025-06-26 21:58:00,106965.9,106991.7,106965.9,106991.7,0.14377600000000001,0.418874
2025-06-26 21:59:00,106991.6,107046.7,106991.6,107016.0,2.144737,0.462476
2025-06-26 22:00:00,107016.0,107016.0,106945.6,106987.5,5.170625,5.551704
2025-06-26 22:01:00,106987.5,107001.8,106987.5,106993.6,1.232717,1.008281
2025-06-26 22:02:00,106993.5,107204.2,106993.5,107188.3,5.331165,7.826906
2025-06-26 22:03:00,107188.4,107205.7,107125.4,107204.2,4.185349,3.503553
2025-06-26 22:04:00,107205.7,107205.8,107156.4,107183.3,4.4748920000000005,3.6502660000000002
